YCSB A,284015,700,1114
YCSB A,269028,1466,6215
YCSB A,343300,1886,4237
YCSB A,343832,3763,9383
YCSB A,353728,8585,32354
YCSB A,356712,10794,43169
YCSB B,523592,328,645
YCSB B,542533,685,3215
YCSB B,1710380,204,782
YCSB B,2583084,205,979
YCSB B,1718917,157,2363
YCSB B,2458469,101,2176
YCSB B,2101540,83,9066
YCSB C,580449,288,498
YCSB C,643817,554,2074
YCSB C,2098538,104,375
YCSB C,3166250,77,480
YCSB C,1832815,131,1519
YCSB C,2564764,7,233
YCSB C,2115187,5,162
YCSB D,519861,331,654
YCSB D,605227,584,2480
YCSB D,1821665,176,711
YCSB D,2605249,190,953
YCSB D,1783256,145,2113
YCSB D,2419939,93,1945
YCSB D,2153397,14,610
YCSB F,84275,17,378
YCSB F,169669,125,1348
YCSB F,84791,10,37
YCSB F,84207,10,35
YCSB F,82155,12,38
YCSB F,79960,16,40
YCSB F,79621,21,44
YCSB G,164383,1239,1802
YCSB G,241867,1646,6302
YCSB G,170974,3545,6866
YCSB G,173334,7072,14991
YCSB G,173750,12981,30835
YCSB G,168971,23512,93612
YCSB G,173965,34965,134384
